Men's Single sculls	/m/04fk3l9	Rowing		1920 Summer Olympics,2000 Summer Olympics,1956 Summer Olympics,2012 Summer Olympics,1924 Summer Olympics,1980 Summer Olympics,1984 Summer Olympics,1968 Summer Olympics,1952 Summer Olympics,1948 Summer Olympics,1928 Summer Olympics,2008 Summer Olympics,1960 Summer Olympics,1932 Summer Olympics,1904 Summer Olympics,1976 Summer Olympics,1996 Summer Olympics,1988 Summer Olympics,1900 Summer Olympics,1936 Summer Olympics,1992 Summer Olympics,2004 Summer Olympics,1908 Summer Olympics,1972 Summer Olympics,1964 Summer Olympics,1912 Summer Olympics	Rowing at the 1932 Summer Olympics - Men's Single Sculls,Rowing at the 2000 Summer Olympics - Men's  Single Sculls,Rowing at the 1924 Summer Olympics – Men's single sculls,Rowing at the 1956 Summer Olympics - Men's Single Sculls,Rowing at the 1992 Summer Olympics – Men's Single sculls,Rowing at the 1928 Summer Olympics - Men's Single Sculls,Rowing at the 1996 Summer Olympics - Men's Single Sculls,Rowing at the 1920 Summer Olympics - Men's single sculls,Rowing at the 2012 Summer Olympics – Men's single sculls,Rowing at the 1948 Summer Olympics - Men's Single Sculls,Rowing at the 1904 Summer Olympics - Men's single sculls,Rowing at the 1912 Summer Olympics - Men's single sculls,Rowing at the 1984 Summer Olympics - Men's Single Sculls,Rowing at the 2004 Summer Olympics - Men's Single Sculls,Rowing at the 1952 Summer Olympics - Men's Single Sculls,Rowing at the 1968 Summer Olympics - Men's Single Sculls,Rowing at the 1936 Summer Olympics - Men's Single Sculls,Rowing at the 1988 Summer Olympics - Men's Single Sculls,Rowing at the 1900 Summer Olympics - Men's Single Sculls,Rowing at the 1964 Summer Olympics - Men's Single sculls,Rowing at the 1976 Summer Olympics - Men's Single Sculls,Rowing at the 1972 Summer Olympics - Men's Single Sculls,Rowing at the 2008 Summer Olympics - Men's Single Sculls,Rowing at the 1908 Summer Olympics - Men's single sculls,Rowing at the 1980 Summer Olympics - Men's Single Sculls,Rowing at the 1960 Summer Olympics - Men's Single Sculls	
Men's Mountain Biking, Cross-Country	/m/04fk2xd	Mountain biking		1996 Summer Olympics,2008 Summer Olympics,2004 Summer Olympics,2000 Summer Olympics,2012 Summer Olympics	Cycling at the 2000 Summer Olympics - Men's cross-country,Cycling at the 1996 Summer Olympics - Men's cross-country,Cycling at the 2008 Summer Olympics - Men's cross-country,Cycling at the 2012 Summer Olympics – Men's cross-country,Cycling at the 2004 Summer Olympics - Men's cross-country	
Men's 200m breaststroke	/m/04fk326	Swimming		2012 Summer Olympics,1988 Summer Olympics,1968 Summer Olympics,1952 Summer Olympics,1984 Summer Olympics,1932 Summer Olympics,1920 Summer Olympics,1928 Summer Olympics,1976 Summer Olympics,1908 Summer Olympics,1972 Summer Olympics,1960 Summer Olympics,1912 Summer Olympics,1980 Summer Olympics,1964 Summer Olympics,2008 Summer Olympics,1956 Summer Olympics,1948 Summer Olympics,1992 Summer Olympics,1936 Summer Olympics,1924 Summer Olympics,1996 Summer Olympics,2000 Summer Olympics,2004 Summer Olympics	Swimming at the 2012 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1952 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1920 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1992 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1988 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1912 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1996 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1932 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1980 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1956 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1948 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1960 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1964 Summer Olympics – Men's 200 metre breaststroke,Swimming at the 1924 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1972 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1908 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1976 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 2008 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1984 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 2000 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 2004 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1928 Summer Olympics - Men's 200 metre breaststroke,Swimming at the 1936 Summer Olympics - Men's 200 metre breaststroke	
Women's Foil team	/m/04fk2xw	Fencing		2008 Summer Olympics,2012 Summer Olympics	Fencing at the 2012 Summer Olympics - Women's team foil,Fencing at the 2008 Summer Olympics - Women's team foil	
Men's 400m freestyle	/m/04fk30t	Swimming		1952 Summer Olympics,1948 Summer Olympics,1984 Summer Olympics,1932 Summer Olympics,1908 Summer Olympics,1968 Summer Olympics,1920 Summer Olympics,1960 Summer Olympics,1980 Summer Olympics,1956 Summer Olympics,2012 Summer Olympics,1988 Summer Olympics,1996 Summer Olympics,2004 Summer Olympics,1912 Summer Olympics,1964 Summer Olympics,1928 Summer Olympics,2000 Summer Olympics,2008 Summer Olympics,1924 Summer Olympics,1936 Summer Olympics,1992 Summer Olympics,1972 Summer Olympics,1976 Summer Olympics	Swimming at the 1992 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1932 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1928 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1956 Summer Olympics – Men's 400 metre freestyle,Swimming at the 2004 Summer Olympics - Men's 400 metre freestyle,Swimming at the 2012 Summer Olympics – Men's 400 metre freestyle,Swimming at the 1984 Summer Olympics - Men's 400 metre freestyle,Swimming at the 2000 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1952 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1980 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1972 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1996 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1964 Summer Olympics – Men's 400 metre freestyle,Swimming at the 1960 Summer Olympics – Men's 400 metre freestyle,Swimming at the 1988 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1908 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1948 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1976 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1924 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1912 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1936 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1920 Summer Olympics - Men's 400 metre freestyle,Swimming at the 1968 Summer Olympics – Men's 400 metre freestyle,Swimming at the 2008 Summer Olympics - Men's 400 metre freestyle	
Women's Team Pursuit	/m/063wqfx	Speed skating		2010 Winter Olympics	Speed skating at the 2010 Winter Olympics – Women's team pursuit	
Men's Freestyle Wrestling, Featherweight -60kg	/m/07nb5q3	Freestyle wrestling		1920 Summer Olympics	Wrestling at the 1920 Summer Olympics - Men's freestyle featherweight	
Men's Freestyle Wrestling, Lightweight 61.2-65.8kg	/m/07nvdjg	Freestyle wrestling		1904 Summer Olympics	Wrestling at the 1904 Summer Olympics - Men's freestyle lightweight	
300m military rifle, prone	/m/07nv79_	Shooting sports			Shooting at the 1920 Summer Olympics - Men's 300 metre military rifle, prone	
Men's Double American Round	/m/07nnfd_	Archery		1904 Summer Olympics	Archery at the 1904 Summer Olympics – Men's Double American Round	
Men's Greco-Roman Featherweight	/m/07nc_rw	Greco-Roman wrestling		1912 Summer Olympics	Wrestling at the 1912 Summer Olympics - Men's Greco-Roman featherweight	
Men's 1 Mile Freestyle	/m/07nvddk	Swimming		1904 Summer Olympics	Swimming at the 1904 Summer Olympics - Men's 1 mile freestyle	
Standing High Jump	/m/07n9zwb	Track and field athletics		1900 Summer Olympics,1912 Summer Olympics,1904 Summer Olympics,1908 Summer Olympics	Athletics at the 1912 Summer Olympics - Men's standing high jump,Athletics at the 1908 Summer Olympics - Men's standing high jump,Athletics at the 1900 Summer Olympics - Men's standing high jump,Athletics at the 1904 Summer Olympics - Men's standing high jump	
Men's boxing welterweight 62-67kg	/m/07mvkqx	Boxing		1948 Summer Olympics	Boxing at the 1948 Summer Olympics - Welterweight	
Men's Foil Team	/m/0k168rc	Fencing		2012 Summer Olympics	Fencing at the 2012 Summer Olympics - Men's team foil	
Women's Track Cycling, Team Sprint	/m/0k1c1cy	Track cycling		2012 Summer Olympics	Cycling at the 2012 Summer Olympics – Women's team sprint	
Men's Track Cycling, 10 km	/m/07w13gb	Track cycling		1896 Summer Olympics	Cycling at the 1896 Summer Olympics - Men's 10 kilometres	
Men's 25m small bore rifle	/m/07n9zhm	Shooting sports		1912 Summer Olympics	Shooting at the 1912 Summer Olympics - Men's 25 metre small-bore rifle	
Men's Boxing, Lightweight 58-62kg	/m/07nnsm8	Boxing		1948 Summer Olympics	Boxing at the 1948 Summer Olympics - Lightweight	
Men's Athletics, Cross-Country	/m/07n9zbq	Track and field athletics		1920 Summer Olympics,1924 Summer Olympics,1912 Summer Olympics	Athletics at the 1924 Summer Olympics – Men's Individual Cross Country,Athletics at the 1912 Summer Olympics - Men's Individual Cross Country,Athletics at the 1920 Summer Olympics - Men's Individual Cross Country	
