Calgary	/m/01r32	1988 Winter Olympics
Vancouver	/m/080h2	2010 Winter Olympics
Sarajevo	/m/06n8j	1984 Winter Olympics
Albertville	/m/0gz4f	1992 Winter Olympics
Tokyo	/m/07dfk	1964 Summer Olympics
Los Angeles	/m/030qb3t	1984 Summer Olympics,1932 Summer Olympics
Antwerp	/m/0fydw	1920 Summer Olympics
Oslo	/m/05l64	1952 Winter Olympics
Chamonix	/m/0ps3g	1924 Winter Olympics
Athens	/m/0n2z	1896 Summer Olympics,2004 Summer Olympics,1906 Summer Olympics
Barcelona	/m/01f62	1992 Summer Olympics
Atlanta	/m/013yq	1996 Summer Olympics
London	/m/04jpl	2012 Summer Olympics,1948 Summer Olympics,1908 Summer Olympics
Garmisch-Partenkirchen	/m/02587z	1936 Winter Olympics
Rome	/m/06c62	1960 Summer Olympics
St. Moritz	/m/01sd_8	1928 Winter Olympics,1948 Winter Olympics
Amsterdam	/m/0k3p	1928 Summer Olympics
Nagano	/m/0gp5pr	1998 Winter Olympics
Sapporo	/m/0gp5l6	1972 Winter Olympics
Beijing	/m/01914	2008 Summer Olympics
St. Louis	/m/06wxw	1904 Summer Olympics
Mexico City	/m/04sqj	1968 Summer Olympics
Sydney	/m/06y57	2000 Summer Olympics
Paris	/m/05qtj	1900 Summer Olympics,1924 Summer Olympics
Turin	/m/07mgr	2006 Winter Olympics
Grenoble	/m/0df_c	1968 Winter Olympics
Innsbruck	/m/0fhmy	1964 Winter Olympics,1976 Winter Olympics
Stockholm	/m/06mxs	1912 Summer Olympics
Rio de Janeiro	/m/06gmr	2016 Summer Olympics
Moscow	/m/04swd	1980 Summer Olympics
Seoul	/m/0hsqf	1988 Summer Olympics
Berlin	/m/0156q	1936 Summer Olympics
Munich	/m/02h6_6p	1972 Summer Olympics
Cortina d'Ampezzo	/m/02qzmh	1956 Winter Olympics
Melbourne	/m/0chgzm	1956 Summer Olympics
Squaw Valley	/m/0653gn	1960 Winter Olympics
Lillehammer	/m/0h4qc	1994 Winter Olympics
Helsinki	/m/03khn	1952 Summer Olympics
Salt Lake City	/m/0f2r6	2002 Winter Olympics
Montreal	/m/052p7	1976 Summer Olympics
Lake Placid	/m/0x_n1	1932 Winter Olympics,1980 Winter Olympics
