	/m/0gz6p6w	Germany	Cycling at the 1912 Summer Olympics - Men's individual time trial		Georg Warsow	1912 Summer Olympics
	/m/0b6tb3v	Russia	Cross-country skiing at the 2010 Winter Olympics – Men's team sprint	Bronze medal	Nikolay Morilov,Alexey Petukhov	2010 Winter Olympics
	/m/0b4_h75	Kazakhstan	Biathlon at the 2010 Winter Olympics – Women's individual	Silver medal	Elena Khrustaleva	2010 Winter Olympics
	/m/07mrmxz	Denmark	Sailing at the 1956 Summer Olympics - Finn	Gold medal	Paul Bert Elvstrøm	1956 Summer Olympics
	/m/07m47g3	Greece	Wrestling at the 1984 Summer Olympics - Men's Greco-Roman 57 kg	Bronze medal	Kharalambos Kholidis	1984 Summer Olympics
	/m/07r8j_v	Austria	Alpine Skiing at the 1956 Winter Olympics - Men's downhill	Gold medal	Toni Sailer	1956 Winter Olympics
	/m/07mrmgg	Turkey	Wrestling at the 1956 Summer Olympics - Freestyle Welterweight	Silver medal	Ibrahim Zengin	1956 Summer Olympics
	/m/07m4756	Denmark	Canoeing at the 1984 Summer Olympics - Men's C-1 1000 metres	Bronze medal	Henning Lynge Jakobsen	1984 Summer Olympics
	/m/07kktq5	Romania	Canoeing at the 1964 Summer Olympics - Men's K-1 1000 metres	Bronze medal	Aurel Vernescu	1964 Summer Olympics
	/m/07m470v	New Zealand	Canoeing at the 1984 Summer Olympics - Men's K-1 1000 metres	Gold medal	Alan Thompson	1984 Summer Olympics
	/m/07njlgd	United States of America	Athletics at the 1924 Summer Olympics – Men's marathon	Bronze medal	Clarence DeMar	1924 Summer Olympics
	/m/07kzy0x	Iran	Wrestling at the 1964 summer Olympics - Men's Freestyle Welterweight	Bronze medal	Mohammad Ali Sanatkaran	1964 Summer Olympics
	/m/07kzy58	Uruguay	Boxing at the 1964 Summer Olympics - Bantamweight	Bronze medal	Washington Rodríguez	1964 Summer Olympics
	/m/07ky2zt	Japan	Judo at the 1972 Summer Olympics - Men's Half Middleweight (70kg)	Gold medal	Toyokazu Nomura	1972 Summer Olympics
	/m/07nptbb	Hungary	Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Light Heavyweight	Gold medal	Norbert Növényi	1980 Summer Olympics
	/m/07ft_vm	Bulgaria	Weightlifting at the 2000 Summer Olympics - Men's Lightweight 62-69 kg	Silver medal	Georgi Markov	2000 Summer Olympics
	/m/07n8kb_	Sweden	Athletics at the 1948 Summer Olympics – Men's 10 kilometre walk	Gold medal	John Mikaelsson	1948 Summer Olympics
	/m/07b01fj	Italy	Boxing at the 2004 Summer Olympics - Super Heavyweight	Bronze medal	Roberto Cammarelle	2004 Summer Olympics
	/m/07b0131	Australia	Swimming at the 2004 Summer Olympics - Men's 1500 metre freestyle	Gold medal	Grant Hackett	2004 Summer Olympics
	/m/07ndt1r	Sweden	Modern Pentathlon at the 1928 Summer Olympics - Men's Individual	Silver medal	Bo Lindman	1928 Summer Olympics
	/m/07gq1nq	Soviet Union	Modern pentathlon at the 1964 Summer Olympics - Men's Individual	Bronze medal	Albert Mokeyev	1964 Summer Olympics
	/m/07mf8r4	Italy	Swimming at the 1972 Summer Olympics - Women's 800 metre freestyle	Bronze medal	Novella Calligaris	1972 Summer Olympics
	/m/07nwlgq	Guyana	Boxing at the 1980 Summer Olympics - Bantamweight	Bronze medal	Michael Anthony	1980 Summer Olympics
	/m/07fwtsy	Norway	Canoeing at the 2000 Summer Olympics - Men's K-1 500 metres	Gold medal	Knut Holmann	2000 Summer Olympics
	/m/07l91kt	Austria	Cycling at the 2004 Summer Olympics - Men's individual road race		Georg Totschnig	2004 Summer Olympics
	/m/07mf8dz	Bulgaria	Wrestling at the 1972 Summer Olympics - Men's Freestyle Featherweight	Bronze medal	Ivan Krastev	1972 Summer Olympics
