Dynamo Sports Palace	/m/0265f5t			
Anaheim Convention Center	/m/067rgq			
Shibuya Public Hall	/m/03cm5wb			
Rose Bowl	/m/04j5_p	1932 Summer Olympics,1984 Summer Olympics	Football at the 1984 Summer Olympics	
Fengtai Sports Center Softball Field	/m/04dst2t	2008 Summer Olympics		
Melbourne Cricket Ground	/m/04_1m	2000 Summer Olympics,1956 Summer Olympics		
Atlanta-Fulton County Stadium	/m/038jpc	1996 Summer Olympics		
Los Angeles Memorial Coliseum	/m/02zbj1	1932 Summer Olympics,1984 Summer Olympics		
Millennium Stadium	/m/03jxd8	2012 Summer Olympics	Football at the 2012 Summer Olympics – Men's tournament,Football at the 2012 Summer Olympics – Women's tournament	
Stade Olympique Yves-du-Manoir	/m/06f9qg	1924 Summer Olympics		
Gersten Pavilion	/m/09hjd1			
Olympic Gymnastics Arena	/m/0br76t			
Utah Olympic Oval	/m/0bs7f7	2002 Winter Olympics		
Komazawa Stadium	/m/0f4tgq			
Sha Tin Racecourse	/m/07r81z			
Laoshan Velodrome	/m/0d4b9x	2008 Summer Olympics	Cycling at the 2008 Summer Olympics - Men's sprint,Cycling at the 2008 Summer Olympics - Men's Keirin,Cycling at the 2008 Summer Olympics - Men's individual pursuit,Cycling at the 2008 Summer Olympics - Men's team pursuit,Cycling at the 2008 Summer Olympics - Women's Points Race,Cycling at the 2008 Summer Olympics - Women's individual pursuit,Cycling at the 2008 Summer Olympics - Women's Sprint,Cycling at the 2008 Summer Olympics - Men's points race,Cycling at the 2008 Summer Olympics - Men's Madison,Cycling at the 2008 Summer Olympics - Men's team sprint	
The Dome	/m/0f58kn			
Dunc Gray Velodrome	/m/084_k0	2000 Summer Olympics		
