Athletics at the 1984 Summer Olympics - Women's Discus Throw	/m/03gxxnm	Women's Discus throw		/m/07txgqx,/m/07cy91t,/m/07fp6k6	1984 Summer Olympics
Athletics at the 1924 Summer Olympics - Men's javelin throw	/m/03whb29	Men's Javelin throw		/m/07njlmj,/m/07nnh55,/m/07nv7w8	1924 Summer Olympics
Rowing at the 2004 Summer Olympics - Women's Double Sculls	/m/03wysm				2004 Summer Olympics
Boxing at the 2008 Summer Olympics - Lightweight	/m/04g7gsr	Men's Boxing, Lightweight 57 - 60kg		/m/094tv9r,/m/07w1ddb,/m/094tv9g,/m/07w3_31	2008 Summer Olympics
Equestrian at the 2008 Summer Olympics - Team dressage	/m/04g7gb_	Team Dressage	Hong Kong Sports Institute	/m/04gc0pf,/m/04gc0nf,/m/04gc0p0	2008 Summer Olympics
Shooting at the 2008 Summer Olympics - Men's Trap	/m/04g7fh3	Men's Trap	Beijing Shooting Range Hall	/m/04gc484,/m/04gc48m,/m/07w3_4t	2008 Summer Olympics
Swimming at the 2008 Summer Olympics - Women's 400 metre freestyle	/m/04g7f4t	Women's 400m freestyle	Beijing National Aquatics Centre	/m/04gc7h8,/m/04gc7hk,/m/04gc7g_	2008 Summer Olympics
Weightlifting at the 1996 Summer Olympics - Men's Middleweight 70-76 kg	/m/0414zgs	Men's Weightlifting, Middleweight 70-76kg		/m/07_44ld,/m/08q9g8q,/m/08q9g8z	1996 Summer Olympics
Weightlifting at the 1996 Summer Olympics - Men's Light Weightlifting 76- 83 kg	/m/041531b	Men's Weightlifting, Light Heavyweight 76- 83 kg		/m/07zkdy9,/m/08q7xml,/m/082j90r	1996 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's Freestyle Welterweight	/m/0420zc1	Men's Freestyle Wrestling, Welterweight 69-76 kg		/m/079yvh7,/m/079rn82,/m/07fb_jn	2000 Summer Olympics
Swimming at the 1924 Summer Olympics - Women's 400 metre freestyle	/m/04n6wzm	Women's 400m freestyle		/m/07njm1g,/m/07njm25,/m/07njm1v	1924 Summer Olympics
Weightlifting at the 1920 Summer Olympics - Men's Heavyweight +82.5 kg	/m/043r7nd	Men's Weightlifting, Heavyweight +82.5		/m/07nv7c3,/m/07nx9gs,/m/07nx94p	1920 Summer Olympics
Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight	/m/04ld7tc	Men's Freestyle Wrestling, Featherweight 57-62kg		/m/07nn95r,/m/07npt3c,/m/07nwlcz	1980 Summer Olympics
Swimming at the 2008 Summer Olympics - Men's 4 x 200 metre freestyle relay	/m/04f0r_d	Men's 4x200m freestyle relay	Beijing National Aquatics Centre	/m/04g96nn,/m/04g96n5,/m/04g96mz	2008 Summer Olympics
Athletics at the 2004 Summer Olympics - Women's 4 x 400 metres relay	/m/03pb4j				2004 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 4 x 100 metre medley relay	/m/03wg_tm				1980 Summer Olympics
Diving at the 1956 Summer Olympics - Men's 10 metre platform	/m/027fy1x	Men's 10 metre platform		/m/07n93nl,/m/04dq052,/m/04dq059	1956 Summer Olympics
Archery at the 2004 Summer Olympics - Men's team	/m/0285084				2004 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's shot put	/m/02qlzb_	Women's Shot put		/m/07n7b6s,/m/07n7b6j,/m/07nht4b	1956 Summer Olympics
Cycling at the 1952 Summer Olympics - Men's team road race	/m/02r9976			/m/0651kvp	1952 Summer Olympics
Gymnastics at the 1912 Summer Olympics - Men's artistic individual all-around	/m/027s3jt	Men's Gymnastics, individual all-round		/m/07nnmxt,/m/07nnmp5,/m/07nnmy1	1912 Summer Olympics
Swimming at the 1996 Summer Olympics - Women's 200 metre individual medley	/m/0267s6f	Women's 200m individual medley		/m/083jdp2,/m/08_gkyr,/m/07zkdvv	1996 Summer Olympics
Athletics at the 1956 Summer Olympics - Men's 50 km walk	/m/02qlh0j	Men's 50km walk		/m/07mrn2p,/m/07nnq3w,/m/07n7b3w	1956 Summer Olympics
Athletics at the 1988 Summer Olympics - Women's 3000 metres	/m/0273sjx	Women's Athletics, 3000m		/m/07wrpxb,/m/07cn3j3,/m/08n3vvj	1988 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 800 metre freestyle	/m/02w269v	Women's 800m freestyle		/m/07bxd4f,/m/079rn28,/m/079rn2j	2000 Summer Olympics
Athletics at the 1904 Summer Olympics - Men's 800 metres	/m/02735m_	Men's Athletics, 800m		/m/07nnfkk,/m/07nnfk9,/m/07nnfk1	1904 Summer Olympics
Water polo at the 1992 Summer Olympics	/m/02737k7				
