Amik	/m/025z758	
Fuwa: Beibei	/m/0jsgp45	2008 Summer Olympics
Izzy	/m/025z7j8	1996 Summer Olympics
Fuwa: Huanhuan	/m/0jsgp_8	2008 Summer Olympics
Fuwa: Nini	/m/0jsgpn5	2008 Summer Olympics
Cobi	/m/088s20	1992 Summer Olympics
Fatso the Fat-Arsed Wombat	/m/03scv7	
Millie	/m/052j5vj	2000 Summer Olympics
Fuwa: Jingjing	/m/0jsgpmq	2008 Summer Olympics
Sam	/m/025z77b	1984 Summer Olympics
Fuwa: Yingying	/m/0jsgpmz	2008 Summer Olympics
Fuwa	/m/0jsgn7n	2008 Summer Olympics
Hodori	/m/0fqzwh	
Waldi	/m/025z6y0	1972 Summer Olympics
Wenlock and Mandeville	/m/0c02zg_	2012 Summer Olympics
Syd	/m/052j5vr	2000 Summer Olympics
Olly	/m/052j5vz	2000 Summer Olympics
Roni	/m/04dwjbp	1980 Winter Olympics
Ronny	/m/04dwjbg	1980 Winter Olympics
Misha	/m/03jgg_	1980 Summer Olympics
